supplier_id,company_name,classification,ownership_percentage,distance_from_mine_km,registration_date,primary_category,secondary_category,annual_revenue_usd,certification_status,contact_person,phone,email,address,tax_id,employees_count,founded_year,website
SUP0012,"Wilson, Lam and Lee",International,0.0,2665.2,2020-08-11,Electrical Services,Environmental Services,58590253.14,Pending,Jeffrey Meyer,+1-635-661-5951,snguyen@example.com,"6299 Sullivan Village, West Justinchester, WY 76520",TIN95320121,455,2020,www.company11.com
SUP0013,"Pena, Marshall and Ramos Ghana Limited",Ghanaian Registered,3.825,211.1,2019-10-28,Maintenance Services,Waste Management,2120220.79,Pending,John Santana,001-221-248-9513x4332,traceycarr@example.org,"676 Dylan Spurs, Port Michelleville, WI 56225",TIN38119557,33,2019,www.penamarshallandramosghana.com.gh
SUP0014,Volta Engineering Ltd,Ghanaian Owned,90.4,114.5,2024-12-13,Fuel & Lubricants,Laboratory Services,905149.45,Certified,Robert Dominguez,908.831.7278x895,vmerritt@example.com,"487 Joshua Club, Jimmymouth, MD 71299",TIN81691040,7,2024,www.voltaengineering.com.gh
SUP0015,Accra Trading,Ghanaian Owned,75.8,172.1,2015-10-12,Electrical Services,Environmental Services,1633417.17,Not Certified,Chris Reyes,(231)566-5876,xprice@example.net,"USS Gates, FPO AP 50358",TIN84752529,19,2015,www.accratrading.com.gh
SUP0016,Accra Supplies Co Ltd,Ghanaian Owned,76.7,153.9,2024-08-08,Transportation & Logistics,Consulting Services,479318.52,Certified,Tommy Evans,(768)889-3734x6706,marycalhoun@example.net,"901 Taylor Mountain Apt. 046, Jasonmouth, MA 50193",TIN52339391,6,2024,www.accrasuppliesco.com.gh
SUP0017,Ghana Engineering Ltd,Ghanaian Owned,66.7354,197.6,2014-09-01,IT Services,Office Supplies,1277731.01,Not Certified,Trevor Fisher,270-580-5310,maryhowell@example.org,"374 Jackson Rest, Port Loriport, CT 76350",TIN52235350,8,2014,www.ghanaengineering.com.gh
SUP0018,Hickman Ghana Limited,Ghanaian Participation,42.2,63.9,2014-07-03,Electrical Services,Laboratory Services,10462899.18,Pending,Tina Sanders,,huntermatthew@example.com,"5726 Jessica Run, Christinaside, WI 63873",TIN29175900,204,2014,www.hickmanghana.com.gh
SUP0019,Graham-Simon West Africa Ltd,Ghanaian Participation,44.6,254.3,2022-08-06,Consulting Services,Financial Services,3956467.3,Not Certified,Samuel Rivas,,hunter35@example.com,"083 John Lodge Suite 837, Westtown, CO 39067",TIN82340307,65,2022,www.graham-simonwestafrica.com.gh
SUP0020,Tema Technical,Ghanaian Owned,59.2,81.6,2012-04-01,Office Supplies,Electrical Services,2713277.85,Pending,Michael Torres,001-757-988-5685,kristopher31@example.net,"823 Joanna Harbor, Tinaborough, LA 30317",TIN39436733,34,2012,www.tematechnical.com.gh
SUP0021,White-Smith Ghana Ltd,Ghanaian Registered,18.8702,196.2,2008-01-06,Equipment Parts,Supplies & Materials,27505365.49,Certified,Denise Mccann,+1-942-971-0947,jack04@example.com,"7190 Edward Port, Christopherbury, DE 73648",TIN16323852,471,2008,www.white-smithghana.com.gh
SUP0022,Asante Trading Limited,Local-Local,85.1,17.4,2010-09-11,Legal Services,Mechanical Services,659256.9,Not Certified,Lisa Gibbs,286.377.4964,colleenbaker@example.org,"120 Hayes Ranch, Carterbury, LA 93163",TIN18526544,10,2010,www.asantetrading.com.gh
SUP0023,Ghana Solutions,Ghanaian Owned,69.0,188.3,2020-09-02,Equipment Parts,Environmental Services,482430.3,Not Certified,Scott Jones,649.436.1832,brownlaura@example.net,"1746 Mason Park Suite 190, Navarroview, AK 12471",TIN11540956,3,2020,www.ghanasolutions.com.gh
SUP0024,Volta Enterprise Co Ltd,Ghanaian Owned,86.0,60.3,2023-03-21,Laboratory Services,Training Services,782957.33,Certified,Michael Valencia,001-604-490-2787,fwalters@example.org,"5125 Steele Heights Suite 807, West Johnnyville, WI 53477",TIN49392920,10,2023,www.voltaenterpriseco.com.gh
SUP0025,"Bryan, West Africa Ltd",Ghanaian Participation,37.3,163.0,2013-03-06,Civil Works,Construction Services,6999639.55,Not Certified,Anthony Stone,+1-277-503-4824x771,lancesmith@example.com,"1274 Perry Orchard, Sanchezside, FL 50778",TIN45351479,90,2013,www.bryanwestafrica.com.gh
SUP0026,Weeks PLC Ghana Ltd,Ghanaian Registered,1.3,168.7,2012-03-06,Equipment Parts,Security Services,5315669.29,Not Certified,Breanna Jones,001-965-784-0449x97278,andrea86@example.com,"USNS Pollard, FPO AE 75447",TIN50056581,76,2012,www.weeksplcghana.com.gh
SUP0027,Volta Mining Services Limited,Ghanaian Owned,74.5856,181.4,2013-06-25,Equipment Rental,Waste Management,1442460.05,Certified,Scott Jenkins,976-262-7028x95171,robertpena@example.org,"9615 Finley Road Suite 809, East Crystalport, IN 98381",TIN82394227,23,2013,www.voltaminingservices.com.gh
SUP0028,Hamilton Ghana Limited,Ghanaian Participation,44.8262,135.5,2011-04-13,Supplies & Materials,Construction Services,10010141.62,Certified,Michele Garcia,(840)405-0455,amandaknight@example.org,"693 Durham Divide, South Dana, NH 33967",TIN58718453,158,2011,www.hamiltonghana.com.gh
SUP0029,"Smith, West Africa Ltd",Ghanaian Participation,38.8,210.3,2024-04-04,Transportation & Logistics,Consulting Services,4854262.1,,Brooke Alexander,(894)764-7436x713,victoria40@example.net,"097 Parsons Forks, Jefferyborough, RI 33351",TIN20570592,40,2024,www.smithwestafrica.com.gh
SUP0030,Asante Industries Ltd,Local-Local,88.5,7.9,2020-12-26,Safety Equipment,Equipment Rental,463655.31,Certified,Michelle Hopkins,,julie23@example.org,"842 Sloan Orchard Suite 517, East Karenbury, VI 89148",TIN98550256,8,2020,www.asanteindustries.com.gh
SUP0031,"Craig, Sanders and Singleton Ghana Limited",Ghanaian Registered,11.3,309.0,2010-08-10,Safety Equipment,Maintenance Services,4267136.98,Pending,Ann Foster,281-775-4965x137,deborahreid@example.com,"PSC 4612, Box 0047, APO AE 13240",TIN80823176,75,2010,www.craigsandersandsingletonghana.com.gh
SUP0032,Ashanti Solutions Limited,Ghanaian Owned,91.1,46.5,2014-05-26,Safety Equipment,Financial Services,906805.38,Not Certified,Joshua Price,,pwallace@example.com,"506 Lopez Crossing Suite 139, North Kristinbury, DC 74501",TIN36998038,12,2014,www.ashantisolutions.com.gh
SUP0033,Tema Solutions Co Ltd,Local-Local,88.0,2.3,2018-10-20,Civil Works,Equipment Parts,686107.74,Pending,Ronald Spencer,001-433-652-9042,danieldelacruz@example.org,"502 Williams Streets, Foxland, NJ 59257",TIN26240908,12,2018,www.temasolutionsco.com.gh
SUP0034,Palmer-Rodriguez,International,0.0,2595.7,2007-11-17,Consulting Services,Consulting Services,86450463.45,Certified,Theresa Williams,,martinezclaudia@example.net,"9847 Garcia Squares Apt. 836, Beasleychester, MA 59942",TIN55377076,646,2007,www.company33.com
SUP0035,Perry-Davis,International,0.0,652.5,2006-01-11,Construction Services,Office Supplies,143501937.39,Not Certified,Maurice Brooks,(471)211-1615,elizabeth65@example.net,"USCGC Parrish, FPO AP 07244",TIN40885476,1037,2006,www.company34.com
SUP0036,Burke-Bell Ghana Ltd,Ghanaian Registered,8.3,125.6,2013-01-07,Construction Services,Catering Services,6572223.36,,Christy Douglas,815.285.1493,anthony44@example.com,"96120 Julie Forge, Barnesmouth, GA 49004",TIN94705205,53,2013,www.burke-bellghana.com.gh
SUP0037,Ahafo Construction Ltd,Ghanaian Owned,59.4,31.4,2023-08-19,Transportation & Logistics,Training Services,1935690.24,Certified,Frederick Pugh,+1-910-822-9014x767,jason81@example.com,"978 Williams Locks Apt. 034, Port Derrick, KS 38439",TIN79008866,21,2023,www.ahafoconstruction.com.gh
SUP0038,Accra Engineering,Local-Local,91.2176,4.7,2010-08-23,IT Services,Safety Equipment,1195375.67,Certified,Adam Burgess,(826)283-8851,esmith@example.com,"641 Smith Islands Apt. 975, South Meganbury, NE 77685",TIN86644106,6,2010,www.accraengineering.com.gh
SUP0039,Warren-Foster Ghana Limited,Ghanaian Registered,3.1,314.8,2013-01-25,Consulting Services,Supplies & Materials,2672525.0,Pending,Gerald Cook,(418)518-8355,thomasjames@example.net,"77997 Lin Road, Edwardland, NJ 58462",TIN35556386,45,2013,www.warren-fosterghana.com.gh
SUP0040,"Turner, Ghana Ltd",Ghanaian Participation,17.1,213.2,2020-08-02,Legal Services,Mechanical Services,4877944.34,Pending,Emily Hayes,9542119986,kstout@example.net,"207 Lisa Villages Suite 182, East Jasminemouth, NC 69018",TIN66851760,93,2020,www.turnerghana.com.gh
SUP0041,Ghana Industries Ltd,Local-Local,82.7013,10.8,2016-02-07,Legal Services,Laboratory Services,658629.06,Not Certified,Helen Hardin,(465)790-5151x8644,aguilardonald@example.com,"91486 Li Skyway Apt. 685, West Kyleborough, MA 64237",TIN23209423,9,2016,www.ghanaindustries.com.gh
SUP0042,Perez Ghana Limited,Ghanaian Participation,38.2,277.7,2010-04-11,Financial Services,Training Services,8046472.6,Certified,Edward French,988.205.9296x22292,udiaz@example.org,"Unit 9473 Box 8347, DPO AE 48714",TIN43374088,89,2010,www.perezghana.com.gh
SUP0043,Accra Construction,Local-Local,91.0,11.5,2021-03-20,Equipment Rental,Mechanical Services,710600.59,Certified,Laura Alexander,001-346-388-6239x24075,christopher24@example.com,"PSC 2613, Box 7506, APO AE 52465",TIN47385696,8,2021,www.accraconstruction.com.gh
SUP0044,"Brooks, Hughes and Miller",International,0.0,1319.5,2023-03-17,Civil Works,Consulting Services,14148994.22,Certified,Fernando Garcia,001-352-220-4727x790,jason28@example.net,"43410 Robert Underpass Suite 117, Lake Zacharybury, VT 19319",TIN69476001,247,2023,www.company43.com
SUP0045,West Africa Enterprise Ltd,Ghanaian Owned,94.3,117.0,2022-02-23,Laboratory Services,Safety Equipment,2287987.59,Certified,Aaron Gomez,001-262-818-5188,ywilliams@example.com,"1531 Anderson Knoll, Lisaburgh, MP 90243",TIN22517517,13,2022,www.westafricaenterprise.com.gh
SUP0046,Pollard-Mendoza Ghana Ltd,Ghanaian Registered,8.1,249.2,2017-07-21,Maintenance Services,Mechanical Services,16144034.55,Pending,Chad Baldwin,904.630.3054x868,mullinsjames@example.com,"541 Kim Locks, Klinefurt, MA 24987",TIN74606833,226,2017,www.pollard-mendozaghana.com.gh
SUP0047,Accra Solutions Ltd,Ghanaian Owned,80.3,55.7,2022-01-26,Maintenance Services,Electrical Services,2173545.06,Certified,Jonathan Glass MD,361-369-2845,donna47@example.net,"757 Jessica Knoll, Hillton, CA 88474",TIN62401521,16,2022,www.accrasolutions.com.gh
SUP0048,"Sullivan, West Africa Limited",Ghanaian Participation,13.6,242.7,2016-08-11,Medical Services,Mechanical Services,3518575.51,Not Certified,Andre Allison,+1-770-721-3556x90927,khines@example.org,"4310 Victor Loaf Apt. 447, New Justin, PW 64883",TIN84593961,52,2016,www.sullivanwestafrica.com.gh
SUP0049,Martinez West Africa Ltd,Ghanaian Participation,47.5,233.1,2006-10-04,IT Services,Medical Services,12437834.51,Certified,Steven Wallace,455-718-8442,davidharris@example.org,"58957 Cheryl Corners Apt. 467, Hammondshire, CA 16927",TIN17849494,91,2006,www.martinezwestafrica.com.gh
SUP0050,Ashanti Mining Services Ltd,Ghanaian Owned,78.4,108.0,2018-09-08,Financial Services,Training Services,1864579.53,Certified,Maria Cole,+1-685-428-9226x80182,marcusfletcher@example.com,"USNV Singleton, FPO AA 26230",TIN16729990,32,2018,www.ashantiminingservices.com.gh
SUP0051,"Huber, Hill and Weber",International,0.0,4097.4,2017-03-06,Office Supplies,Supplies & Materials,20736436.07,Not Certified,Anna Davidson,001-292-329-9590,frykelli@example.com,"078 May Hollow Suite 364, Joneston, GA 58120",TIN81286543,399,2017,www.company50.com
SUP0052,Washington-Harris Ghana Ltd,Ghanaian Registered,8.9,155.5,2021-08-19,Transportation & Logistics,Equipment Parts,10215789.64,Certified,Emily Higgins,001-956-525-8815x3714,colinroberts@example.com,"25953 Tyrone Passage Suite 747, North Sierrahaven, NH 32053",TIN34941004,89,2021,www.washington-harrisghana.com.gh
SUP0053,Aguilar Inc,International,0.0,2702.4,2020-11-26,Catering Services,Fuel & Lubricants,74244446.92,Certified,Johnny Khan,+1-874-280-1624x5650,michaelroberts@example.com,"912 Phillip Underpass Suite 852, New William, NY 05777",TIN41568532,990,2020,www.company52.com
SUP0054,Williams Ltd,International,0.0,2629.4,2012-05-07,Electrical Services,Security Services,61685271.39,Not Certified,John Bryant,+1-982-659-5269x495,xcabrera@example.com,"409 Baker Shoal Apt. 097, New Cristina, RI 50333",TIN43046464,1106,2012,www.company53.com
SUP0055,Underwood Ghana Ltd,Ghanaian Participation,43.8,129.8,2015-07-17,Mechanical Services,Legal Services,6114009.78,Not Certified,Travis Rodriguez,9752626368,aprilhoffman@example.net,"2785 Lowe Ways Suite 973, West Angela, IN 39509",TIN85863473,79,2015,www.underwoodghana.com.gh
SUP0056,Bush-Vaughn,International,0.0,2484.6,2017-07-15,Equipment Parts,Training Services,51779597.14,Pending,John Castro DVM,001-344-719-8665x2404,vdouglas@example.com,"421 John Skyway Apt. 301, Riverafort, CT 89786",TIN37415205,590,2017,www.company55.com
SUP0057,Volta Logistics Limited,Local-Local,97.5,11.0,2012-10-02,Environmental Services,Electrical Services,137095.44,Certified,Abigail Pierce,(367)573-4540,gentrygregory@example.org,"USS Osborn, FPO AA 65431",TIN96637649,2,2012,www.voltalogistics.com.gh
SUP0058,Tema Industries Co Ltd,Ghanaian Owned,66.4,159.3,2022-05-12,Catering Services,Construction Services,2375309.2,Pending,Paul Brennan,400-949-9154x7887,james15@example.org,"205 Bradley Throughway Apt. 296, Robertsonland, MO 88221",TIN93370583,26,2022,www.temaindustriesco.com.gh
SUP0059,Ashanti Enterprise Ltd,Local-Local,95.1375,6.7,2012-08-18,Safety Equipment,IT Services,424190.39,Not Certified,William Woods,204.663.7454,heather01@example.com,"841 Richardson Forges Apt. 272, Adkinsstad, MT 92505",TIN45594597,4,2012,www.ashantienterprise.com.gh
SUP0060,Kumasi Logistics Ltd,Ghanaian Owned,67.9,143.9,2021-11-26,Consulting Services,Waste Management,923145.66,Pending,Kaitlin Medina,,markmeyer@example.org,"87072 Bryant Centers Suite 406, Lisaborough, OR 10073",TIN31172421,12,2021,www.kumasilogistics.com.gh
SUP0061,Golden Mining Services Co Ltd,Ghanaian Owned,90.8,198.1,2016-04-04,Fuel & Lubricants,Laboratory Services,3700287.79,Not Certified,Gregory Brown,7178046226,ykane@example.com,"512 Rice Stream, Port Adam, AK 39608",TIN11049999,31,2016,www.goldenminingservicesco.com.gh
SUP0062,Volta Mining Services Co Ltd,Ghanaian Owned,58.8,63.6,2010-10-03,Legal Services,Security Services,4105712.07,Certified,Nathan Coleman,(533)575-2431x0690,garciaarthur@example.net,"06738 Karen Trail, East Williamport, IN 96382",TIN45496015,57,2010,www.voltaminingservicesco.com.gh
SUP0063,"Flores, Harper and Chambers Ghana Ltd",Ghanaian Registered,10.5,178.1,2008-02-18,Security Services,Financial Services,8346687.23,Not Certified,Eric Thomas,,heather62@example.com,"34270 Faulkner Point Apt. 634, West Deborah, NV 49138",TIN30863865,108,2008,www.floresharperandchambersghana.com.gh
SUP0064,Tema Engineering Limited,Ghanaian Owned,77.1,126.5,2011-11-09,Accounting Services,Training Services,1653123.55,Certified,Nathaniel Lee,769-690-1398x373,lewisjames@example.net,"93638 Rowe Light Suite 854, Michaelfort, NH 13425",TIN95125977,9,2011,www.temaengineering.com.gh
SUP0065,Tema Mining Services,Ghanaian Owned,65.5,188.0,2020-11-02,Environmental Services,Transportation & Logistics,1299578.58,Certified,Miranda Gill,835-656-0932x04899,jameshall@example.net,"547 Murray Street Suite 228, Whiteside, SD 08199",TIN95132217,8,2020,www.temaminingservices.com.gh
SUP0066,"Johnson, West Africa Limited",Ghanaian Participation,18.8,220.8,2010-01-18,Transportation & Logistics,Construction Services,8142701.17,Pending,Pamela Gutierrez,+1-931-220-3875x0997,patelrobert@example.org,"408 Drake Fall Apt. 182, East Christine, KS 46958",TIN27558317,123,2010,www.johnsonwestafrica.com.gh
SUP0067,Volta Engineering Limited,Local-Local,91.3,7.4,2015-08-19,Financial Services,Civil Works,887260.6,Not Certified,James Watson,(979)233-4101x6668,warnerchristopher@example.com,"180 Jason Ways Suite 401, Rachelshire, TN 04813",TIN67403166,7,2015,www.voltaengineering.com.gh
SUP0068,Mcfarland LLC Ghana Limited,Ghanaian Registered,18.6,131.8,2011-12-07,Security Services,Catering Services,21241451.21,Not Certified,Daniel Thomas,001-461-342-9396x856,brian63@example.org,"0477 Michael Lane Suite 296, Port Christinebury, VT 10135",TIN30005727,367,2011,www.mcfarlandllcghana.com.gh
SUP0069,West Africa Services Co Ltd,Local-Local,84.6,22.8,2011-04-02,Office Supplies,Safety Equipment,1040683.82,Certified,Christian Dawson,+1-426-355-1104x7541,ryanhawkins@example.net,"58199 Shields Bridge, Robertland, VA 73840",TIN67684996,20,2011,www.westafricaservicesco.com.gh
SUP0070,Armstrong and Sons,International,-0.1139,3343.2,2007-12-24,Equipment Rental,Transportation & Logistics,67953225.49,Pending,Caroline Adams,672-512-6464x715,mwheeler@example.com,"65965 Cook Via Apt. 459, South Leon, MO 42331",TIN58942697,1196,2007,www.company69.com
SUP0071,Navarro-Chen Ghana Ltd,Ghanaian Registered,7.8,153.8,2010-06-04,Waste Management,IT Services,6329707.26,Not Certified,Rachael Nguyen,565-919-3982x807,marie16@example.net,"42661 Ewing Neck Suite 886, Port Tanyaside, PA 84148",TIN43491314,98,2010,www.navarro-chenghana.com.gh
SUP0072,Volta Enterprise Co Ltd,Ghanaian Owned,71.8,35.1,2017-11-18,Safety Equipment,Mechanical Services,3491104.8,Not Certified,Ashley Wright,+1-552-990-9656x10143,peter98@example.org,"1461 Marie Stream, West Larry, NH 27615",TIN30743797,57,2017,www.voltaenterpriseco.com.gh
SUP0073,Accra Trading Limited,Local-Local,80.5,1.5,2015-03-11,Mechanical Services,Construction Services,735533.35,Certified,Hannah Davis,001-475-414-0105x1238,anita73@example.com,"660 Shannon Meadow, Smithborough, IL 36984",TIN54585178,8,2015,www.accratrading.com.gh
SUP0074,"Stokes, Brown and Garcia Ghana Limited",Ghanaian Registered,3.3,338.4,2016-04-02,Legal Services,Financial Services,17195218.07,Certified,Chelsea Nguyen,714.778.5969x691,rwilliamson@example.net,"251 Kevin Falls, Heatherhaven, MS 55320",TIN45810056,94,2016,www.stokesbrownandgarciaghana.com.gh
SUP0075,"Taylor, Reyes and Lopez Ghana Ltd",Ghanaian Registered,14.6,372.9,2010-11-20,Accounting Services,Security Services,11654833.7,Pending,Melissa Brewer,(282)774-2257,washingtonjames@example.com,"USCGC Ortiz, FPO AA 54978",TIN15197528,98,2010,www.taylorreyesandlopezghana.com.gh
SUP0076,"Larsen, Burns and Miller Ghana Limited",Ghanaian Registered,4.3,109.3,2017-02-15,Consulting Services,IT Services,5280826.41,Pending,Philip Carter,338-642-7978x819,amber07@example.net,"34074 Atkins Corners Suite 133, Michellechester, GA 81261",TIN56930359,38,2017,www.larsenburnsandmillerghana.com.gh
SUP0077,Glover and Sons Ghana Limited,Ghanaian Registered,9.1,259.1,2012-03-12,Consulting Services,Consulting Services,19256071.69,Certified,Laura Patel,+1-282-654-4948x126,jacquelineanderson@example.org,"672 Burton Lane, Jonesland, MO 68083",TIN98588154,130,2012,www.gloverandsonsghana.com.gh
SUP0078,Accra Solutions Co Ltd,Local-Local,82.5,17.5,2013-09-06,Environmental Services,Catering Services,334571.39,Pending,Melissa Wiley,875.590.1751x863,sadams@example.com,"750 Cory Tunnel, Smithburgh, NV 60337",TIN57130035,3,2013,www.accrasolutionsco.com.gh
SUP0079,Volta Mining Services,Ghanaian Owned,94.3,51.2,2014-02-18,Legal Services,Safety Equipment,2769088.23,Pending,Tyler Harris,001-824-624-1541x520,rubendavis@example.org,"29387 Alan Junctions Apt. 627, East Patrickville, CT 41572",TIN13704481,46,2014,www.voltaminingservices.com.gh
SUP0080,Asante Engineering Limited,Local-Local,80.8,12.5,2017-09-17,Office Supplies,Environmental Services,173762.91,Certified,Edwin Reyes,001-922-518-9092x75326,,"6523 Newman Gateway Suite 043, Lake Peter, SD 07653",TIN24549543,1,2017,www.asanteengineering.com.gh
SUP0081,Simpson Inc,International,0.0,3991.1,2023-12-01,Fuel & Lubricants,Mechanical Services,10109936.42,Pending,Mark Jones,4559269658,,"8486 Miles Corner, West Christopher, CO 67518",TIN52101056,110,2023,www.company80.com
SUP0082,Mccann and Sons Ghana Ltd,Ghanaian Registered,2.7,270.3,2019-10-18,Fuel & Lubricants,Equipment Parts,15270876.51,Certified,Jeanette Walters,+1-214-663-0316x1799,davidzimmerman@example.net,"8842 Martinez Tunnel Suite 105, Nelsonland, KS 93866",TIN61700055,281,2019,www.mccannandsonsghana.com.gh
SUP0083,Ashanti Construction Co Ltd,Ghanaian Owned,77.2,132.9,2024-09-18,Transportation & Logistics,Accounting Services,2104105.61,Pending,Lori Crawford,,sanchezthomas@example.com,"PSC 2086, Box 3536, APO AP 42435",TIN10226999,25,2024,www.ashanticonstructionco.com.gh
SUP0084,West Africa Mining Services Limited,Local-Local,93.2,14.3,2015-10-22,Waste Management,Mechanical Services,506044.5,Certified,Blake Watson,902.238.0617x44518,james94@example.net,"9738 Edward Lodge Apt. 385, West Aaronfurt, PR 97242",TIN99152472,2,2015,www.westafricaminingservices.com.gh
SUP0085,Brong Technical Co Ltd,Ghanaian Owned,61.5072,52.9,2022-03-26,Legal Services,Security Services,1415553.69,Not Certified,Ashley Moreno,867.702.4103,fvillegas@example.net,"619 Ryan Curve, West Jose, MD 52006",TIN50308572,8,2022,www.brongtechnicalco.com.gh
SUP0086,West Africa Engineering,Ghanaian Owned,58.1,28.7,2012-06-05,Training Services,Electrical Services,4562047.48,Not Certified,Nancy Stewart,731-832-9121x277,herreratami@example.org,"1124 Jason Walks Suite 213, Randyton, TX 39670",TIN49682169,27,2012,www.westafricaengineering.com.gh
SUP0087,Wilkins-Thompson Ghana Ltd,Ghanaian Registered,0.9094,177.3,2017-01-21,IT Services,Mechanical Services,7694903.33,Not Certified,Sarah Hawkins,+1-531-471-2100,madisonwatson@example.net,"USS Aguilar, FPO AA 10329",TIN60888017,152,2017,www.wilkins-thompsonghana.com.gh
SUP0088,Osborn and Sons Ghana Ltd,Ghanaian Registered,0.8,360.1,2014-04-26,Fuel & Lubricants,Office Supplies,19532425.76,Pending,Jill Anderson,710-570-2966x70662,joshuagriffin@example.org,"476 Brown Harbors, Taylorborough, SD 69420",TIN64502486,178,2014,www.osbornandsonsghana.com.gh
SUP0089,Mccoy PLC,International,0.0,3165.6,2017-03-13,Safety Equipment,Construction Services,43148060.27,Pending,Virginia Casey,(778)575-9856x420,huangkimberly@example.org,"593 Craig Shoals Apt. 480, New Meghan, AS 51412",TIN48508907,605,2017,www.company88.com
SUP0090,Mcconnell-Frey Ghana Limited,Ghanaian Participation,35.3,143.2,2007-07-05,Office Supplies,Fuel & Lubricants,4557523.54,Not Certified,David Stewart,001-459-905-9929x3784,davisjesse@example.org,"59325 Samantha Vista Suite 002, Port Daniel, NC 48327",TIN53251559,57,2007,www.mcconnell-freyghana.com.gh
SUP0091,Golden Industries,Local-Local,87.2,15.2,2015-01-27,Legal Services,IT Services,394135.46,Not Certified,Jacqueline Mcmahon,(791)554-5226x7528,nicholasgross@example.com,"969 Ian Island, Lake Ariana, NM 18935",TIN73509974,5,2015,www.goldenindustries.com.gh
SUP0092,Mcgee-Young Ghana Ltd,Ghanaian Registered,7.9,171.1,2016-10-03,Legal Services,Catering Services,13352349.44,Pending,Mrs. Stacey Davis,001-257-804-3315x410,koconnor@example.com,"8617 Francisco Cliffs Apt. 405, Stephanieland, MA 22797",TIN79182797,156,2016,www.mcgee-youngghana.com.gh
SUP0093,Martin-Jones Ghana Limited,Ghanaian Registered,11.8,384.6,2016-05-15,Catering Services,Consulting Services,16002479.76,Not Certified,Vanessa Morgan,+1-570-862-9620x153,donna43@example.org,"05061 Colon Road Suite 310, East Danielle, CO 62572",TIN51663795,288,2016,www.martin-jonesghana.com.gh
SUP0094,Parker Ghana Ltd,Ghanaian Participation,18.2,78.0,2023-02-09,Equipment Rental,Construction Services,856602.22,Certified,Steven Baker,+1-686-525-6527x0477,anne21@example.org,"380 Cardenas Manor Suite 937, Christianton, NY 75371",TIN42862209,16,2023,www.parkerghana.com.gh
